Aage
Elizabeth
Ella
Ellen
Ellev
Elling
Ellinor
Elliot
Elliott
Elly
Elna
Elsa
Else
Elsie
Elvira
Elzbieta
Emanuel
Embla
Emelie
Emil
Emilia
Emilian
Emilie
Emilio
Emilis
Emily
Emin
Emina
Emine
Emir
Emma
Emmanuel
Emmett
Emmy
Emre
Emrik
Endre
Enok
Eren
Eric
Erica
Erich
Erik
Erika
Erland
Erle
Erlend
Erling
Erna
Ernst
Esben
Eskil
Eskild
Espen
Ester
Esther
Eva
Evald
Evan
Evelina
Evelyn
Even
Evy
Ewa
Ewelina
Eystein
Eyvind
Fabian
Fadumo
Falk
Fanny
Fatemeh
Fatima
Fatma
Felicia
Felix
Ferdinand
Filip
Filippa
Fillip
Finn
Fiona
Flemming
Franciszek
Frank
Fred
Freddy
Frederik
Fredrick
Fredrik
Fredrikke
Frid
Frida
Fride
Fridtjof
Frithjof
Frits
Fritz
Frode
Frøya
Frøydis
Gabriel
Gabriela
Gabriele
Gabriella
Gabrielle
Galina
Gard
Gaute
Geir
Georg
George
Gerd
Gerda
Gerhard
Gert
Gina
Gine
Gisle
Gitte
Gjermund
Gjert
Gjertrud
Glenn
Gloria
Gorm
Grace
Grazyna
Greta
Grete
Gretha
Grethe
Gro
Gry
Gudbrand
Gudmund
Gudny
Gudrun
Gudveig
Gulbrand
Gun
Gunda
Gunder
Gunhild
Gunlaug
Gunn
Gunnar
Gunnbjørg
Gunnhild
Gunnlaug
Gunnvor
Gunvald
Gunvor
Guri
Guro
Gustas
Gustav
Guttorm
Gyda
Gøran
Gøril
Haagen
Haakon
Haldis
Haldor
Halfdan
Halima
Halldis
Hallgeir
Hallstein
Hallvard
Halvar
Halvard
Halvdan
Halvor
Hamid
Hamza
Hana
Hanan
Hanna
Hannah
Hanne
Hans
Harald
Harriet
Harry
Harun
Hasan
Hassan
Hatice
Hauk
Hedda
Hedvig
Hege
Heidi
Heine
Helen
Helena
Helene
Helga
Helge
Helle
Helmer
Hendrich
Hennie
Henning
Henny
Henrich
Henriette
Henrik
Henrikke
Henry
Herbjørn
Herborg
Herdis
Herman
Hermann
Hermine
Hermod
Hild
Hilda
Hilde
Hildegunn
Hildur
Hilmar
Hjalmar
Hjørdis
Hogne
Holger
Hong
Hubert
Hugo
Hulda
Hussein
Håkon
Håvar
Håvard
Ian
Iben
Ibrahim
Ida
Idar
Idun
Idunn
Ieva
Igor
Ilona
Ilyas
Iman
Imran
Imre
Ina
Ine
Ines
Inga
Ingar
Inge
Ingebjørg
Ingeborg
Ingebrigt
Ingelin
Inger
Ingerid
Ingfrid
Inghild
Ingjerd
Ingmar
Ingolf
Ingri
Ingrid
Ingun
Ingunn
Ingvald
Ingvar
Ingve
Ingvil
Ingvild
Ingvill
Iren
Irena
Irene
Irina
Iris
Irma
Irmelin
Isa
Isaac
Isabel
Isabell
Isabella
Isabelle
Isac
Isak
Iselin
Ismail
Ivan
Ivar
Iver
Ivo
Iwona
Izabela
Jack
Jacob
Jacqueline
Jahn
Jakob
Jakub
Jamal
James
Jamie
Jan
Jana
Jane
Janet
Janicke
Janita
Jann
Janne
Janniche
Jannicke
Jannike
Jaran
Jarand
Jardar
Jarl
Jarle
Jasmin
Jasper
Jayden
Jean
Jeanett
Jeanette
Jelena
Jennie
Jennifer
Jenny
Jens
Jeppe
Jesper
Jessica
Jette
Jill
Jim
Jimmy
Jo
Joachim
Joacim
Joakim
Joan
Joanna
Joar
Joel
Joen
Jofrid
Johan
Johanes
Johann
Johanna
Johanne
Johannes
John
Johnny
Jokubas
Jolanta
Jomar
Jon
Jonah
Jonas
Jonatan
Jonathan
Jone
Jonn
Jonny
Jorid
Jorun
Jorunn
Jose
Josef
Josefine
Joseph
Josephine
Joshua
Jostein
Juan
Judit
Judith
Julia
Julian
Juliane
Julianne
Julie
Julius
June
Juni
Jurgita
Justin
Justyna
Jøran
Jørgen
Jørn
Jørund
Kaare
Kacper
Kai
Kaia
Kaisa
Kaj
Kaja
Kajsa
Kajus
Kamil
Kamila
Kamilla
Karen
Kari
Karianne
Karin
Karina
Karine
Karl
Karla
Karol
Karolina
Karoline
Karstein
Karsten
Kasper
Kaspian
Katarina
Katarzyna
Kate
Katharina
Kathe
Kathinka
Kathrin
Kathrine
Katinka
Katja
Kato
Katrin
Katrine
Kay
Ken
Kenan
Kennet
Kenneth
Kent
Kerstin
Ketil
Kevin
Khadija
Khalid
Kian
Kim
Kine
Kinga
Kirsten
Kirsti
Kitty
Kjartan
Kjell
Kjellaug
Kjellfrid
Kjellrun
Kjersti
Kjerstin
Kjetil
Klara
Klaudia
Klaus
Knud
Knut
Kolbjørn
Konrad
Konstanse
Kornelia
Kornelius
Kristel
Kristen
Krister
Kristi
Kristian
Kristiane
Kristin
Kristina
Kristine
Kristoffer
Kristupas
Krystian
Krystyna
Krzysztof
Kurt
Kyrre
Kåre
Laila
Lajla
Lana
Lara
Lars
Lasse
Laura
Laurits
Lauritz
Lavrans
Lea
Leah
Leander
Leif
Leikny
Leila
Leiv
Lena
Lene
Leni
Lennart
Leo
Leon
Leona
Leonard
Leonardo
Leonel
Leonora
Levi
Liam
Lidia
Lilian
Lilja
Lill
Lilli
Lillian
Lilly
Lily
Lin
Lina
Linda
Lindis
Line
Linea
Linn
Linnea
Linus
Lionel
Lisa
Lisbet
Lisbeth
Lise
Liss
Liv
Liva
Live
Liz
Loke
Lone
Lorentz
Lotta
Lotte
Louis
Louise
Lovise
Luca
Lucas
Ludvig
Ludvik
Luis
Luka
Lukas
Luna
Lyder
Lydia
Lykke
Ma
Maciej
Madeleine
Madelen
Madelene
Mads
Magda
Magdalena
Magna
Magnar
Magne
Magnhild
Magni
Magnus
Magny
Mahamed
Mahdi
Mai
Maia
Maiken
Maj
Maja
Maksymilian
Malena
Malene
Malgorzata
Mali
Malik
Malin
Malvin
Marcel
Marco
Marcus
Maren
Margaret
Margareth
Margarita
Margit
Margot
Margrete
Margrethe
Margun
Margunn
Mari
Maria
Mariam
Marian
Mariann
Marianne
Marie
Mariel
Mariell
Marielle
Marija
Marina
Mario
Marion
Marit
Marita
Marius
Mark
Markas
Markus
Marlen
Marlene
Marry
Marta
Marte
Martha
Marthe
Marthine
Martin
Martina
Martine
Martinius
Martinus
Martyna
Marvin
Mary
Maryam
Maryan
Marzena
Matas
Mateo
Mateusz
Mathea
Matheo
Matheus
Mathias
Mathilde
Mathis
Matias
Matilda
Matilde
Mats
Matteo
Matteus
Matthew
Mattias
Mattis
Maud
Max
Maxim
Maximilian
Maximillian
May
Maya
Mehmet
Melanie
Melina
Melinda
Melissa
Melvin
Merete
Merethe
Mette
Mia
Michael
Michal
Michel
Michelle
Mie
Mika
Mikael
Mikail
Mikal
Mikkel
Mikolaj
Milan
Mildrid
Milena
Milian
Milla
Mille
Millian
Milo
Mimmi
Mina
Minh
Mio
Mira
Miriam
Mirjam
Mohamad
Mohamed
Mohammad
Mohammed
Molly
Mona
Monica
Monika
Mons
Morgan
Morten
Muhammad
Muhammed
Muna
Musab
Mustafa
My
Målfrid
Møyfrid
Nadia
Nadine
Nadja
Naima
Nancy
Nanna
Naomi
Narve
Natalia
Natalie
Natan
Nataniel
Natasha
Nathalie
Nathan
Nathaniel
Nelly
Neo
Ngoc
Nichlas
Nicholas
Nicklas
Nickolai
Niclas
Nico
Nicolai
Nicolas
Nicolay
Nicole
Nicoline
Niels
Niklas
Nikodem
Nikolai
Nikolas
Nikolay
Nikoline
Nils
Nina
Ninni
Njål
Noa
Noah
Noel
Nojus
Noor
Nora
Norah
Noralf
Norma
Normann
Norunn
Norvald
Oda
Odd
Oddbjørg
Oddbjørn
Oddfrid
Oddgeir
Oddlaug
Oddleif
Oddmund
Oddny
Oddrun
Oddvar
Oddveig
Oddvin
Odin
Odvar
Ola
Olaf
Olai
Olander
Olaug
Olav
Ole
Olea
Olena
Olga
Oline
Oliver
Olivia
Olivier
Oliwia
Oliwier
Oluf
Olve
Omar
Oscar
Oskar
Osman
Osvald
Othilie
Ottar
Otto
Ove
Paal
Patricia
Patrick
Patrik
Patrycja
Patryk
Paul
Paula
Paulina
Pauline
Peder
Peggy
Pelle
Per
Pernille
Peter
Petra
Petter
Philip
Phillip
Phuong
Pia
Piotr
Poul
Preben
Pål
Rachel
Rafael
Ragna
Ragnar
Ragne
Ragnhild
Ragni
Ragnvald
Rakel
Ramona
Randi
Rannveig
Ranveig
Rasa
Rasmus
Ravn
Rayan
Raymond
Rebecca
Rebecka
Rebekka
Regina
Regine
Reidar
Reidun
Reidunn
Reinert
Remi
Remy
Renata
Renate
Renathe
Rene
Renee
Richard
Ridwan
Rigmor
Rikard
Rikke
Rina
Rino
Rita
Roald
Roar
Robert
Robin
Roger
Rolf
Rolv
Ronald
Ronja
Ronnie
Ronny
Rosa
Rose
Roy
Ruben
Rudi
Rudolf
Runa
Runar
Rune
Rut
Ruth
Ryan
Rønnaug
Saba
Sabina
Sabine
Sabrina
Sadia
Saga
Sahra
Said
Sakarias
Salma
Salman
Sam
Samir
Samira
Samson
Samuel
Sana
Sander
Sandra
Sanna
Sanne
Sara
Sarah
Scott
Sean
Sebastian
Selina
Selma
Selmer
Serina
Serine
Severin
Shawn
Sidsel
Sigbjørn
Sigfred
Sigfrid
Sigmund
Signe
Signy
Sigrid
Sigrun
Sigrunn
Sigurd
Sigvald
Sigvart
Sigve
Silas
Silja
Silje
Silvia
Simen
Simon
Simona
Simone
Sina
Sindre
Siren
Siri
Siril
Sissel
Siur
Siv
Sivert
Siw
Sjur
Skjalg
Snefrid
Snorre
Sofia
Sofie
Sofus
Sol
Solan
Solbjørg
Solfrid
Solgunn
Solrun
Solveig
Solvor
Solvår
Sondre
Sonia
Sonja
Sophia
Sophie
Stefan
Steffen
Stein
Steinar
Stella
Sten
Stephan
Stephanie
Stephen
Steve
Steven
Stian
Stig
Stina
Stine
Storm
Sture
Sturla
Ståle
Sune
Sunniva
Susan
Susann
Susanna
Susanne
Suzanne
Svanhild
Svein
Sveinung
Sven
Svend
Svenn
Sverre
Svetlana
Syed
Sylvi
Sylvia
Sylwia
Synne
Synneva
Synnøve
Synøve
Syver
Szymon
Sølve
Sølvi
Søren
Tage
Taha
Tale
Tallak
Tamara
Tanja
Tanya
Tara
Tarald
Tarik
Tarjei
Tatiana
Tatjana
Tea
Ted
Teo
Teodor
Teresa
Terese
Terje
Thale
Thanh
Thea
Thelma
Theo
Theodor
Theodore
Theresa
Therese
Thi
Thomas
Thor
Thora
Thoralf
Thorbjørn
Thordis
Thore
Thorleif
Thormod
Thorstein
Thorvald
Thu
Thuy
Tian
Tilde
Tim
Timian
Tina
Tine
Tinius
Tiril
Tirill
Tobias
Tom
Tomas
Tomine
Tommy
Tone
Tonje
Tonny
Tony
Tor
Tora
Toralf
Torben
Torbjørg
Torbjørn
Tord
Tordis
Tore
Torfinn
Torgeir
Torger
Torgrim
Torgunn
Torhild
Toril
Torild
Torill
Torje
Torjus
Torkel
Torkil
Torkild
Torleif
Torleiv
Tormod
Torodd
Torolf
Torstein
Torun
Torunn
Torvald
Tosten
Tove
Trine
Tristan
Tron
Trond
Troy
Trude
Truls
Trygve
Trym
Turi
Turid
Tuva
Tymon
Tyra
Tønnes
Ulf
Ulla
Ulrik
Ulrikke
Una
Unn
Unni
Valborg
Valentina
Vanessa
Vanja
Varg
Vebjørn
Vegar
Vegard
Vemund
Venche
Venke
Vera
Veronica
Veronika
Veslemøy
Vetle
Vibecke
Vibeke
Victor
Victoria
Vida
Vidar
Vigdis
Viggo
Viktor
Viktoria
Viktorija
Vilde
Vilhelm
Vilja
Viljar
Villy
Vilma
Vilmer
Vincent
Vinjar
Viola
Vivi
Vivian
Vår
Vårin
Walter
Wanja
Wenche
Wencke
Wendy
Wenke
Werner
Weronika
Widar
Wigdis
Wiggo
Wiktor
Wiktoria
Wilhelm
William
Willy
Wilma
Wilmer
Wojciech
Yahya
Yasin
Yasir
Yasmin
Ylva
Yngvar
Yngve
Yngvild
Yosef
Younes
Yousef
Youssef
Yusuf
Yvonne
Zahra
Zainab
Zakaria
Zander
Zuzanna
Ådne
Åge
Ågot
Åsa
Åse
Åshild
Åslaug
Åsmund
Åsne
Åsta
Øistein
Øivind
Ørjan
Ørnulf
Øystein
Øyvin
Øyvind
